neptune,0,1,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,69,55,0,0,0,6,0,255,6,2,8,0,0,99,87,0,0
neptune,0,1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,9,69,55,0,0,8,6,0,255,11,4,6,0,0,99,87,0,0
normal,0,1,22,9,318,204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,96,0,43,67,255,100,0,1,1,0,0,0,0
normal,0,1,22,9,195,1085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,96,0,25,84,255,100,0,1,7,0,0,0,0
normal,0,1,22,9,187,445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,96,0,0,64,144,100,0,2,2,0,0,0,0
neptune,0,1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,19,69,55,0,0,9,5,0,255,20,8,6,0,0,99,87,0,0
normal,0,1,22,9,187,2789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,96,0,0,92,255,100,0,1,2,0,0,0,0
normal,0,1,22,9,160,1682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,96,0,0,24,34,100,0,4,6,0,0,0,0
neptune,0,1,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15,69,55,0,0,25,6,0,255,66,26,2,0,0,99,87,0,0
normal,0,0,13,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,253,253,100,0,100,0,0,0,0,0
smurf,0,0,14,9,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,413,0,0,0,0,96,0,0,255,23,9,25,9,0,0,0,0,0
normal,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,41,96,0,0,6,247,100,0,17,1,0,0,100,3
neptune,0,1,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,20,69,55,0,0,8,5,0,255,21,8,5,0,0,99,87,0,0
neptune,0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,6,0,0,71,41,6,8,0,255,7,3,7,0,0,0,0,100,99
ipsweep,0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,41,96,0,0,48,1,2,100,2,0,0,0,92,99
normal,0,1,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,32,0,0,96,0,0,255,255,100,0,1,0,0,0,0,0
portsweep,0,1,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,41,96,0,0,255,1,0,56,100,0,0,0,100,99
normal,0,1,22,9,285,1631,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,223,223,100,0,0,0,0,0,0,0
normal,2,1,19,9,1655,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,96,0,0,201,29,11,2,11,7,0,0,0,0
normal,0,1,19,9,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,96,0,0,133,34,26,5,26,0,2,0,5,0
normal,27,1,18,9,1037,2296,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,50,78,0,171,36,21,4,1,0,1,0,0,0
normal,0,0,61,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,18,18,0,255,2,1,1,1,0,0,0,0,0
normal,0,2,46,9,88,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,25,0,255,204,80,1,0,0,0,0,0,0
normal,0,1,22,9,194,1088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,96,0,0,106,255,100,0,1,2,0,0,0,0
neptune,0,1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,3,69,55,0,0,2,6,0,255,6,2,9,0,0,99,87,0,0
normal,0,2,11,9,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,156,0,0,0,0,96,0,2,255,227,89,1,0,0,0,0,0,0
normal,0,1,22,9,323,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,96,0,0,255,255,100,0,0,0,0,0,0,0
normal,0,1,51,9,582,277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,78,0,52,47,67,12,2,4,0,0,0,0
normal,206,2,41,9,127,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,25,0,0,0,50,46,0,255,4,2,53,93,0,0,0,0,0
neptune,0,1,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,22,69,55,0,0,11,5,0,255,23,9,5,0,0,99,87,0,0
normal,0,1,22,9,190,625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,96,0,0,255,255,100,0,0,0,0,0,0,0
normal,0,1,22,9,271,3754,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,0,56,1,255,100,0,100,3,0,0,0,0
normal,0,1,22,9,207,396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,96,0,0,27,198,100,0,4,5,0,0,0,0
smurf,0,0,14,9,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,411,0,0,0,0,96,0,0,255,216,85,1,85,0,0,0,0,0
normal,0,1,22,9,196,3170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,96,0,0,65,255,100,0,2,5,0,0,0,0
normal,9,1,51,9,535,226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,166,98,57,5,1,2,1,1,0,0
neptune,0,1,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,69,55,0,0,1,6,0,255,30,12,6,0,0,99,87,0,0
normal,258,2,41,9,127,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,56,0,255,1,0,48,95,0,0,0,0,0
normal,0,1,22,9,320,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,96,0,0,255,255,100,0,0,0,0,0,0,0
satan,0,0,13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,255,1,0,31,0,0,0,0,15,0
normal,0,0,13,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,37,131,100,0,100,37,0,0,0,0
normal,0,2,41,9,424,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,304,0,0,0,0,96,0,0,255,255,100,0,100,0,0,0,0,0
normal,0,1,22,9,177,259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,96,0,20,255,255,100,0,0,0,0,0,0,0
neptune,0,1,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,8,69,48,0,0,6,6,22,255,3,1,7,0,0,99,87,0,0
normal,0,1,22,9,326,2326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,96,0,23,255,255,100,0,0,0,0,0,0,0
normal,0,2,11,9,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,170,0,0,0,0,96,0,0,255,204,80,1,0,0,0,0,0,0
normal,0,1,17,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,146,12,5,1,1,17,0,0,0,0
normal,0,1,22,9,300,1339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,96,0,0,255,255,100,0,0,0,0,0,0,0
neptune,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,19,0,0,71,41,7,6,0,255,20,8,8,0,0,0,0,100,99
normal,0,1,22,9,209,145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,96,0,0,255,255,100,0,0,0,0,0,2,2
normal,0,1,22,9,275,1488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,96,0,0,6,255,100,0,17,4,0,0,0,0
normal,0,1,22,9,283,536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,96,0,0,114,255,100,0,1,2,0,0,0,0
normal,0,1,19,9,734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,96,0,0,140,12,9,4,9,0,0,0,0,0
satan,0,2,41,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,96,0,0,255,10,4,20,60,0,0,0,35,0
normal,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,71,41,96,0,56,8,255,100,0,12,21,0,1,100,98
normal,0,0,61,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,23,9,33,255,26,10,1,10,0,0,0,0,0
